"id","Code","Description","Color","Area_Type"
"1","AS","USA (AMERICAN SAMOA)","","EZ"
"2","AU","AUSTRALIA","","EZ"
"3","CK","COOK ISLANDS","","EZ"
"4","CN","CHINA","","EZ"
"5","FJ","FIJI","","EZ"
"6","FM","FEDERATED STATES OF MICRONESIA","","EZ"
"7","GL","GILBERT ISLANDS (KIRIBATI)","","EZ"
"8","GU","USA (GUAM)","","EZ"
"11","HB","USA (HOWLAND AND BAKER)","","EZ"
"12","HW","USA (HAWAII)","","EZ"
"22","ID","INDONESIA","","EZ"
"23","JP","JAPAN","","EZ"
"24","JT","USA (JOHNSTON)","","EZ"
"25","JV","USA (JARVIS)","","EZ"
"26","KI","KIRIBATI","","EZ"
"27","KR","REPUBLIC OF KOREA","","EZ"
"28","LN","LINE ISLANDS (KIRIBATI)","","EZ"
"29","MA","MATTHEW AND HUNTER (DISPUTED: FR & VU)","","EZ"
"30","MH","MARSHALL ISLANDS","","EZ"
"31","MP","NORTHERN MARIANA ISLANDS","","EZ"
"32","NC","FRANCE (NEW CALEDONIA)","","EZ"
"33","NF","NORFOLK (AUSTRALIA)","","EZ"
"34","NR","NAURU","","EZ"
"35","NU","NIUE","","EZ"
"36","NZ","NEW ZEALAND","","EZ"
"37","PF","FRANCE (FRENCH POLYNESIA)","","EZ"
"38","PG","PAPUA NEW GUINEA","","EZ"
"39","PH","PHILIPPINES","","EZ"
"40","PN","PITCAIRN","","EZ"
"41","PW","PALAU","","EZ"
"42","PX","PHOENIX (KIRIBATI)","","EZ"
"43","PY","USA (PALMYRA)","","EZ"
"44","SB","SOLOMON ISLANDS","","EZ"
"45","TK","TOKELAU","","EZ"
"46","TO","TONGA","","EZ"
"47","TV","TUVALU","","EZ"
"48","TW","CHINESE TAIPEI","","EZ"
"49","US","UNITED STATES OF AMERICA","","EZ"
"50","VU","VANUATU","","EZ"
"51","WF","FRANCE (WALLIS AND FUTUNA)","","EZ"
"52","WK","USA (WAKE)","","EZ"
"53","WS","SAMOA","","EZ"
