"Code","Species","Species Group","Order"
"1","Freshwater fishes","Freshwater fishes","16"
"11","Carps, barbels and other cyprinids","Freshwater fishes","5"
"12","Tilapias and other cichlids","Freshwater fishes","56"
"13","Miscellaneous freshwater fishes","Freshwater fishes","35"
"2","Diadromous fishes","Diadromous fishes","12"
"21","Sturgeons, paddlefishes","Diadromous fishes","55"
"22","River eels","Diadromous fishes","44"
"23","Salmons, trouts, smelts","Diadromous fishes","45"
"24","Shads","Diadromous fishes","49"
"25","Miscellaneous diadromous fishes","Diadromous fishes","34"
"3","Marine fishes","Marine fishes","25"
"31","Flounders, halibuts, soles","Marine fishes","14"
"32","Cods, hakes, haddocks","Marine fishes","7"
"33","Miscellaneous coastal fishes","Marine fishes","32"
"34","Miscellaneous demersal fishes","Marine fishes","33"
"35","Herrings, sardines, anchovies","Marine fishes","20"
"36","Tunas, bonitos, billfishes","Marine fishes","57"
"37","Miscellaneous pelagic fishes","Marine fishes","38"
"38","Sharks, rays, chimaeras","Marine fishes","50"
"39","Marine fishes not identified","Marine fishes","26"
"4","Crustaceans","Crustaceans","11"
"41","Freshwater crustaceans","Crustaceans","15"
"42","Crabs, sea-spiders","Crustaceans","9"
"43","Lobsters, spiny-rock lobsters","Crustaceans","24"
"44","King crabs, squat-lobsters","Crustaceans","22"
"45","Shrimps, prawns","Crustaceans","51"
"46","Krill, planktonic crustaceans","Crustaceans","23"
"47","Miscellaneous marine crustaceans","Crustaceans","36"
"5","Molluscs","Molluscs","39"
"51","Freshwater molluscs","Molluscs","17"
"52","Abalones, winkles, conchs","Molluscs","1"
"53","Oysters","Molluscs","41"
"54","Mussels","Molluscs","40"
"55","Scallops, pectens","Molluscs","46"
"56","Clams, cockles, arkshells","Molluscs","6"
"57","Squids, cuttlefishes, octopuses","Molluscs","54"
"58","Miscellaneous marine molluscs","Molluscs","37"
"6","Whales, seals and other aquatic mammals","Whales, seals and other aquatic mammals","59"
"61","Blue-whales, fin-whales","Whales, seals and other aquatic mammals","3"
"62","Sperm-whales, pilot-whales","Whales, seals and other aquatic mammals","52"
"63","Eared seals, hair seals, walruses","Whales, seals and other aquatic mammals","13"
"64","Miscellaneous aquatic mammals","Whales, seals and other aquatic mammals","30"
"7","Miscellaneous aquatic animals","Miscellaneous aquatic animals","28"
"71","Frogs and other amphibians","Miscellaneous aquatic animals","18"
"72","Turtles","Miscellaneous aquatic animals","58"
"73","Crocodiles and alligators","Miscellaneous aquatic animals","10"
"74","Sea-squirts and other tunicates","Miscellaneous aquatic animals","47"
"75","Horseshoe crabs and other arachnoids","Miscellaneous aquatic animals","21"
"76","Sea-urchins and other echinoderms","Miscellaneous aquatic animals","48"
"77","Miscellaneous aquatic invertebrates","Miscellaneous aquatic animals","29"
"8","Miscellaneous aquatic animal products","Miscellaneous aquatic animal products","27"
"81","Pearls, mother-of-pearl, shells","Miscellaneous aquatic animal products","42"
"82","Corals","Miscellaneous aquatic animal products","8"
"83","Sponges","Miscellaneous aquatic animal products","53"
"9","Aquatic plants","Aquatic plants","2"
"91","Brown seaweeds","Aquatic plants","4"
"92","Red seaweeds","Aquatic plants","43"
"93","Green seaweeds","Aquatic plants","19"
"94","Miscellaneous aquatic plants","Aquatic plants","31"
