"ID","ISSCAAP","TAXOCODE","3A_CODE","Scientific_name","English_name","Family","Author","Order","Stats_data","IMS_NAME"
"1","36","1750101202","DOT","Gymnosarda unicolor","Dogtooth tuna","Scombridae","(Rüppell 1836)","SCOMBROIDEI","Yes",""
"2","36","1750102301","FRI","Auxis thazard","Frigate tuna","Scombridae","(Lacépède 1800)","SCOMBROIDEI","Yes",""
"3","36","1750102303","BLT","Auxis rochei","Bullet tuna","Scombridae","(Risso 1810)","SCOMBROIDEI","Yes",""
"4","36","1750102501","SKJ","Katsuwonus pelamis","Skipjack tuna","Scombridae","(Linnaeus 1758)","SCOMBROIDEI","Yes",""
"5","36","1750102601","BFT","Thunnus thynnus","Atlantic bluefin tuna","Scombridae","(Linnaeus 1758)","SCOMBROIDEI","Yes",""
"6","36","1750102602","PBF","Thunnus orientalis","Pacific bluefin tuna","Scombridae","(Temminck & Schlegel 1844)","SCOMBROIDEI","Yes",""
"7","36","1750102603","LOT","Thunnus tonggol","Longtail tuna","Scombridae","(Bleeker 1851)","SCOMBROIDEI","Yes",""
"8","36","1750102604","BLF","Thunnus atlanticus","Blackfin tuna","Scombridae","(Lesson 1831)","SCOMBROIDEI","Yes",""
"9","36","1750102608","SBF","Thunnus maccoyii","Southern bluefin tuna","Scombridae","(Castelnau 1872)","SCOMBROIDEI","Yes",""
"10","36","1750102610","YFT","Thunnus albacares","Yellowfin tuna","Scombridae","(Bonnaterre 1788)","SCOMBROIDEI","Yes",""
"11","36","1750102612","BET","Thunnus obesus","Bigeye tuna","Scombridae","(Lowe 1839)","SCOMBROIDEI","Yes",""
"12","36","1750102701","SLT","Allothunnus fallai","Slender tuna","Scombridae","Serventy 1948","SCOMBROIDEI","Yes",""
"13","36","17501023XX018","FRZ","Auxis thazard, A. rochei","Frigate and bullet tunas","Scombridae","","SCOMBROIDEI","Yes",""
"14","36","17501026XX","TUS","Thunnus spp","True tunas nei","Scombridae","","SCOMBROIDEI","No",""
"15","36","17501XXXXX043","TUN","Thunnini","Tunas nei","Scombridae","","SCOMBROIDEI","No","Tuna"
